Wavelength (nm),Sum(calc),Li I (3.1e-6),Li II (6.8e-5),Li III (1.6e-38),C I (2.2e-3),C II (1.1e-4),C III (3.2e-13),Na I (2.8e-3),Na II (5.7e-2),Na III (1.1e-20),Mg I (1.2e-2),Mg II (9.4e-2),Mg III (4.6e-5),Al I (2.1e-2),Al II (1.3e-1),Al III (2.9e-6),Si I (1.5e-1),Si II (2.6e-1),Si III (9.5e-6),K I (8.5e-4),K II (2.6e-2),K III (4.9e-13),Ca I (3.5e-3),Ca II (8.2e-2),Ca III (9.6e-4),Ti I (9.7e-4),Ti II (1.5e-2),Ti III (2.6e-5),Cr I (1.4e-5),Cr II (1.3e-4),Mn I (1.6e-4),Mn II (1.2e-3),Fe I (1.5e-2),Fe II (7.7e-2),Fe III (8.3e-6),Ni I (3.5e-5),Ni II (9.7e-5),Ni III (2.6e-9),Cu I (1.3e-5),Cu II (2.9e-5),Zn I (5.3e-5),Zn II (7.3e-5),Pr II (1.6e-2),Eu I (7.7e-4),Eu II (3.0e-2),Tm I (1.7e-5),Tm II (4.9e-4)
618.16,8.297e+1,2.402e-23,5.889e-59,,5.320e-28,3.647e-32,2.371e-51,,,,,2.077e-24,,3.224e-22,2.515e-1,5.775e-36,8.638e-23,3.203e-24,3.579e-27,5.368e-23,1.213e-28,,1.358e-12,,4.867e-24,7.607e-24,,6.153e-32,1.431e-25,,9.512e-24,1.130e-26,1.674e-9,1.517e-25,1.285e-10,4.877e-4,,6.114e-36,,3.468e-8,9.989e-24,,8.271e+1,6.979e-3,,6.005e-26,
618.18,8.780e+1,2.404e-23,5.900e-59,,5.324e-28,3.632e-32,2.369e-51,,,,,2.079e-24,,3.225e-22,2.686e-1,5.770e-36,8.635e-23,3.196e-24,1.162e-27,5.371e-23,1.208e-28,,4.320e-13,,2.180e-24,7.619e-24,,6.154e-32,1.432e-25,,9.502e-24,1.130e-26,4.241e-9,1.520e-25,1.289e-10,3.776e-4,,6.117e-36,,5.658e-8,9.990e-24,,8.752e+1,1.274e-2,,5.999e-26,
618.20,9.119e+1,2.406e-23,5.911e-59,,5.327e-28,3.617e-32,2.367e-51,,,,,2.081e-24,,3.226e-22,2.828e-1,5.765e-36,8.631e-23,3.190e-24,3.699e-28,5.375e-23,1.204e-28,,1.349e-13,,9.585e-25,7.632e-24,,6.155e-32,1.433e-25,,9.492e-24,1.129e-26,1.055e-8,1.522e-25,1.270e-10,3.448e-4,,6.121e-36,,9.062e-8,9.990e-24,,9.088e+1,2.282e-2,,5.994e-26,
618.21,9.228e+1,2.407e-23,5.917e-59,,5.329e-28,3.610e-32,2.367e-51,,,,,2.082e-24,,3.226e-22,2.887e-1,5.762e-36,8.629e-23,3.186e-24,2.073e-28,5.376e-23,1.202e-28,,7.482e-14,,6.310e-25,7.638e-24,,6.156e-32,1.434e-25,,9.487e-24,1.129e-26,1.651e-8,1.524e-25,1.253e-10,3.545e-4,,6.123e-36,,1.139e-7,9.991e-24,,9.196e+1,3.032e-2,,5.991e-26,
618.23,9.318e+1,2.410e-23,5.928e-59,,5.333e-28,3.595e-32,2.365e-51,,,,,2.084e-24,,3.227e-22,2.977e-1,5.757e-36,8.626e-23,3.180e-24,6.415e-29,5.379e-23,1.198e-28,,2.271e-14,,2.696e-25,7.651e-24,,6.158e-32,1.435e-25,,9.477e-24,1.129e-26,3.992e-8,1.527e-25,1.203e-10,4.254e-4,,6.127e-36,,1.773e-7,9.992e-24,,9.283e+1,5.280e-2,,5.986e-26,
618.24,9.298e+1,2.411e-23,5.934e-59,,5.335e-28,3.588e-32,2.364e-51,,,,,2.085e-24,,3.228e-22,3.008e-1,5.754e-36,8.624e-23,3.176e-24,3.544e-29,5.381e-23,1.196e-28,,1.242e-14,,1.750e-25,7.658e-24,,6.158e-32,1.435e-25,,9.472e-24,1.128e-26,6.164e-8,1.528e-25,1.172e-10,4.877e-4,,6.129e-36,,2.198e-7,9.992e-24,,9.261e+1,6.919e-2,,5.983e-26,
618.26,9.130e+1,2.413e-23,5.945e-59,,5.339e-28,3.573e-32,2.362e-51,,,,,2.086e-24,,3.229e-22,3.039e-1,5.749e-36,8.620e-23,3.170e-24,1.066e-29,5.384e-23,1.191e-28,,3.664e-15,,7.270e-26,7.670e-24,,6.160e-32,1.436e-25,,9.462e-24,1.128e-26,1.449e-7,1.531e-25,1.099e-10,6.720e-4,,6.132e-36,,3.328e-7,9.993e-24,,9.088e+1,1.171e-1,,5.977e-26,
618.28,8.802e+1,2.415e-23,5.956e-59,,5.343e-28,3.558e-32,2.360e-51,,,,,2.088e-24,,3.230e-22,3.029e-1,5.744e-36,8.617e-23,3.163e-24,3.148e-30,5.387e-23,1.187e-28,,1.061e-15,,2.963e-26,7.683e-24,,6.161e-32,1.437e-25,,9.452e-24,1.127e-26,3.342e-7,1.534e-25,1.016e-10,9.492e-4,,6.136e-36,,4.947e-7,9.993e-24,,8.752e+1,1.946e-1,,5.972e-26,
618.29,8.583e+1,2.416e-23,5.962e-59,,5.345e-28,3.551e-32,2.359e-51,,,,,2.089e-24,,3.230e-22,3.008e-1,5.741e-36,8.615e-23,3.160e-24,1.699e-30,5.388e-23,1.185e-28,,5.667e-16,,1.879e-26,7.689e-24,,6.162e-32,1.437e-25,,9.447e-24,1.127e-26,5.040e-7,1.535e-25,9.726e-11,1.129e-3,,6.138e-36,,5.989e-7,9.994e-24,,8.528e+1,2.491e-1,,5.969e-26,
618.31,8.054e+1,2.418e-23,5.973e-59,,5.349e-28,3.536e-32,2.357e-51,,,,,2.091e-24,,3.231e-22,2.937e-1,5.736e-36,8.611e-23,3.153e-24,4.875e-31,5.391e-23,1.181e-28,,1.595e-16,,7.444e-27,7.702e-24,,6.163e-32,1.438e-25,,9.437e-24,1.126e-26,1.130e-6,1.538e-25,8.831e-11,1.587e-3,,6.142e-36,,8.659e-7,9.994e-24,,7.984e+1,4.023e-1,,5.964e-26,
618.33,7.428e+1,2.420e-23,5.984e-59,,5.353e-28,3.521e-32,2.356e-51,,,,,2.093e-24,,3.232e-22,2.828e-1,5.730e-36,8.608e-23,3.147e-24,1.373e-31,5.394e-23,1.176e-28,,4.403e-17,,2.894e-27,7.715e-24,,6.165e-32,1.439e-25,,9.427e-24,1.126e-26,2.487e-6,1.541e-25,7.946e-11,2.198e-3,,6.146e-36,,1.229e-6,9.995e-24,,7.335e+1,6.377e-1,,5.958e-26,
618.34,7.089e+1,2.421e-23,5.990e-59,,5.355e-28,3.514e-32,2.355e-51,,,,,2.094e-24,,3.233e-22,2.760e-1,5.728e-36,8.606e-23,3.143e-24,7.233e-32,5.396e-23,1.174e-28,,2.298e-17,,1.792e-27,7.721e-24,,6.165e-32,1.439e-25,,9.422e-24,1.126e-26,3.664e-6,1.543e-25,7.519e-11,2.571e-3,,6.148e-36,,1.454e-6,9.995e-24,,6.981e+1,7.972e-1,,5.956e-26,
618.36,6.384e+1,2.423e-23,6.001e-59,,5.359e-28,3.499e-32,2.353e-51,,,,,2.095e-24,,3.234e-22,2.603e-1,5.722e-36,8.602e-23,3.137e-24,1.980e-32,5.399e-23,1.170e-28,,6.167e-18,,6.772e-28,7.734e-24,,6.167e-32,1.440e-25,,9.412e-24,1.125e-26,7.840e-6,1.545e-25,6.715e-11,3.472e-3,,6.151e-36,,2.007e-6,9.996e-24,,6.235e+1,1.229e+0,,5.950e-26,
618.38,5.675e+1,2.425e-23,6.012e-59,,5.363e-28,3.484e-32,2.351e-51,,,,,2.097e-24,,3.235e-22,2.420e-1,5.717e-36,8.598e-23,3.130e-24,5.318e-33,5.402e-23,1.165e-28,,1.624e-18,,2.512e-28,7.747e-24,,6.168e-32,1.441e-25,,9.402e-24,1.125e-26,1.646e-5,1.548e-25,5.998e-11,4.602e-3,,6.155e-36,,2.720e-6,9.997e-24,,5.465e+1,1.858e+0,,5.945e-26,
618.39,5.331e+1,2.426e-23,6.018e-59,,5.365e-28,3.477e-32,2.350e-51,,,,,2.098e-24,,3.236e-22,2.321e-1,5.714e-36,8.597e-23,3.127e-24,2.737e-33,5.404e-23,1.163e-28,,8.278e-19,,1.519e-28,7.753e-24,,6.169e-32,1.441e-25,,9.397e-24,1.124e-26,2.369e-5,1.550e-25,5.677e-11,5.262e-3,,6.157e-36,,3.146e-6,9.997e-24,,5.080e+1,2.269e+0,,5.942e-26,
618.41,4.684e+1,2.428e-23,6.029e-59,,5.369e-28,3.462e-32,2.348e-51,,,,,2.100e-24,,3.237e-22,2.111e-1,5.709e-36,8.593e-23,3.120e-24,7.145e-34,5.407e-23,1.159e-28,,2.120e-19,,5.475e-29,7.766e-24,,6.171e-32,1.442e-25,,9.387e-24,1.124e-26,4.836e-5,1.553e-25,5.112e-11,6.783e-3,,6.161e-36,,4.149e-6,9.998e-24,,4.329e+1,3.336e+0,,5.936e-26,
618.43,4.120e+1,2.430e-23,6.040e-59,,5.373e-28,3.448e-32,2.347e-51,,,,,2.102e-24,,3.238e-22,1.893e-1,5.704e-36,8.589e-23,3.113e-24,1.831e-34,5.410e-23,1.155e-28,,5.326e-20,,1.937e-29,7.778e-24,,6.172e-32,1.443e-25,,9.377e-24,1.123e-26,9.689e-5,1.556e-25,4.652e-11,8.581e-3,,6.165e-36,,5.374e-6,9.999e-24,,3.619e+1,4.813e+0,,5.931e-26,
618.44,3.879e+1,2.431e-23,6.046e-59,,5.375e-28,3.440e-32,2.346e-51,,,,,2.103e-24,,3.238e-22,1.782e-1,5.701e-36,8.588e-23,3.110e-24,9.200e-35,5.411e-23,1.153e-28,,2.631e-20,,1.144e-29,7.785e-24,,6.173e-32,1.444e-25,,9.372e-24,1.123e-26,1.362e-4,1.557e-25,4.459e-11,9.583e-3,,6.167e-36,,6.075e-6,9.999e-24,,3.286e+1,5.741e+0,,5.928e-26,
618.46,3.493e+1,2.434e-23,6.057e-59,,5.379e-28,3.425e-32,2.344e-51,,,,,2.104e-24,,3.239e-22,1.562e-1,5.696e-36,8.584e-23,3.104e-24,2.291e-35,5.414e-23,1.148e-28,,6.429e-21,,3.934e-30,7.797e-24,,6.174e-32,1.444e-25,,9.362e-24,1.123e-26,2.653e-4,1.560e-25,4.138e-11,1.179e-2,,6.170e-36,,7.660e-6,1.000e-23,,2.671e+1,8.053e+0,,5.923e-26,
618.48,3.254e+1,2.436e-23,6.068e-59,,5.382e-28,3.411e-32,2.342e-51,,,,,2.106e-24,,3.240e-22,1.349e-1,5.691e-36,8.580e-23,3.097e-24,5.598e-36,5.417e-23,1.144e-28,,1.541e-21,,1.327e-30,7.810e-24,,6.176e-32,1.445e-25,,9.353e-24,1.122e-26,5.071e-4,1.563e-25,3.893e-11,1.423e-2,,6.174e-36,,9.488e-6,1.000e-23,,2.131e+1,1.109e+1,,5.917e-26,
618.49,3.195e+1,2.437e-23,6.074e-59,,5.384e-28,3.403e-32,2.341e-51,,,,,2.107e-24,,3.241e-22,1.246e-1,5.688e-36,8.579e-23,3.094e-24,2.748e-36,5.419e-23,1.142e-28,,7.494e-22,,7.656e-31,7.816e-24,,6.176e-32,1.446e-25,,9.348e-24,1.122e-26,6.962e-4,1.564e-25,3.792e-11,1.552e-2,,6.176e-36,,1.049e-5,1.000e-23,,1.890e+1,1.292e+1,,5.915e-26,
618.51,3.206e+1,2.439e-23,6.085e-59,,5.388e-28,3.389e-32,2.339e-51,,,,,2.109e-24,,3.242e-22,1.051e-1,5.683e-36,8.575e-23,3.087e-24,6.527e-37,5.422e-23,1.138e-28,,7.542e-22,,2.511e-31,7.829e-24,,6.178e-32,1.447e-25,,9.338e-24,1.121e-26,1.294e-3,1.567e-25,3.623e-11,1.821e-2,,6.180e-36,,1.266e-5,1.000e-23,,1.465e+1,1.729e+1,,5.909e-26,
618.53,3.396e+1,2.441e-23,6.096e-59,,5.392e-28,3.374e-32,2.337e-51,,,,,2.111e-24,,3.243e-22,8.720e-2,5.677e-36,8.571e-23,3.080e-24,6.708e-37,5.425e-23,1.133e-28,,7.589e-22,,8.083e-32,7.842e-24,,6.179e-32,1.447e-25,,9.328e-24,1.121e-26,2.360e-3,1.570e-25,3.482e-11,2.097e-2,,6.184e-36,,1.501e-5,1.000e-23,,1.115e+1,2.270e+1,,5.904e-26,
618.54,3.560e+1,2.442e-23,6.102e-59,,5.394e-28,3.366e-32,2.337e-51,,,,,2.112e-24,,3.243e-22,7.896e-2,5.675e-36,8.570e-23,3.077e-24,6.799e-37,5.427e-23,1.131e-28,,7.613e-22,,4.554e-32,7.848e-24,,6.180e-32,1.448e-25,,9.323e-24,1.121e-26,3.165e-3,1.571e-25,3.416e-11,2.234e-2,,6.186e-36,,1.625e-5,1.000e-23,,9.659e+0,2.584e+1,,5.901e-26,
618.56,4.023e+1,2.444e-23,6.113e-59,,5.398e-28,3.352e-32,2.335e-51,,,,,2.114e-24,,3.245e-22,6.395e-2,5.669e-36,8.566e-23,3.070e-24,6.981e-37,5.430e-23,1.127e-28,,7.660e-22,,1.425e-32,7.861e-24,,6.181e-32,1.449e-25,,9.313e-24,1.120e-26,5.612e-3,1.574e-25,3.286e-11,2.501e-2,,6.189e-36,,1.879e-5,1.000e-23,,7.145e+0,3.299e+1,,5.896e-26,
618.58,4.662e+1,2.446e-23,6.124e-59,,5.402e-28,3.337e-32,2.333e-51,,,,,2.115e-24,,3.246e-22,5.095e-2,5.664e-36,8.562e-23,3.064e-24,7.162e-37,5.433e-23,1.123e-28,,7.707e-22,,4.374e-33,7.874e-24,,6.183e-32,1.450e-25,,9.303e-24,1.120e-26,9.767e-3,1.577e-25,3.148e-11,2.748e-2,,6.193e-36,,2.137e-5,1.000e-23,,5.187e+0,4.134e+1,,5.890e-26,
618.59,5.043e+1,2.447e-23,6.130e-59,,5.404e-28,3.330e-32,2.332e-51,,,,,2.116e-24,,3.246e-22,4.519e-2,5.661e-36,8.561e-23,3.061e-24,7.253e-37,5.434e-23,1.120e-28,,7.731e-22,,2.407e-33,7.880e-24,,6.183e-32,1.450e-25,,9.298e-24,1.119e-26,1.279e-2,1.579e-25,3.073e-11,2.860e-2,,6.195e-36,,2.265e-5,1.000e-23,,4.389e+0,4.595e+1,,5.887e-26,
618.61,5.917e+1,2.449e-23,6.141e-59,,5.408e-28,3.315e-32,2.330e-51,,,,,2.118e-24,,3.247e-22,3.511e-2,5.656e-36,8.557e-23,3.054e-24,7.434e-37,5.437e-23,1.116e-28,,7.778e-22,,7.182e-34,7.893e-24,,6.185e-32,1.451e-25,,9.288e-24,1.119e-26,2.165e-2,1.581e-25,2.908e-11,3.055e-2,,6.199e-36,,2.515e-5,1.000e-23,,3.097e+0,5.598e+1,,5.882e-26,
618.63,6.917e+1,2.451e-23,6.152e-59,,5.412e-28,3.300e-32,2.328e-51,,,,,2.120e-24,,3.248e-22,2.682e-2,5.651e-36,8.553e-23,3.047e-24,7.616e-37,5.440e-23,1.112e-28,,7.825e-22,,2.103e-34,7.906e-24,,6.186e-32,1.452e-25,,9.278e-24,1.118e-26,3.595e-2,1.584e-25,2.722e-11,3.202e-2,,6.203e-36,,2.749e-5,1.001e-23,,2.145e+0,6.693e+1,,5.876e-26,
618.64,7.454e+1,2.452e-23,6.158e-59,,5.414e-28,3.293e-32,2.327e-51,,,,,2.121e-24,,3.249e-22,2.329e-2,5.648e-36,8.552e-23,3.044e-24,7.706e-37,5.442e-23,1.110e-28,,7.849e-22,,1.130e-34,7.912e-24,,6.187e-32,1.452e-25,,9.273e-24,1.118e-26,4.600e-2,1.586e-25,2.621e-11,3.255e-2,,6.204e-36,,2.857e-5,1.001e-23,,1.773e+0,7.267e+1,,5.874e-26,
618.66,8.578e+1,2.455e-23,6.169e-59,,5.418e-28,3.278e-32,2.326e-51,,,,,2.123e-24,,3.250e-22,1.733e-2,5.643e-36,8.548e-23,3.037e-24,7.888e-37,5.445e-23,1.105e-28,,7.896e-22,,3.218e-35,7.925e-24,,6.188e-32,1.453e-25,,9.263e-24,1.117e-26,7.425e-2,1.589e-25,2.406e-11,3.317e-2,,6.208e-36,,3.053e-5,1.001e-23,,1.194e+0,8.446e+1,,5.868e-26,
618.68,9.730e+1,2.457e-23,6.180e-59,,5.422e-28,3.263e-32,2.324e-51,,,,,2.124e-24,,3.251e-22,1.268e-2,5.637e-36,8.544e-23,3.031e-24,8.069e-37,5.448e-23,1.101e-28,,7.944e-22,,8.988e-36,7.937e-24,,6.190e-32,1.454e-25,,9.253e-24,1.117e-26,1.176e-1,1.592e-25,2.177e-11,3.317e-2,,6.212e-36,,3.215e-5,1.001e-23,,7.886e-1,9.635e+1,,5.863e-26,
618.69,1.030e+2,2.458e-23,6.186e-59,,5.424e-28,3.256e-32,2.323e-51,,,,,2.125e-24,,3.251e-22,1.077e-2,5.635e-36,8.543e-23,3.028e-24,8.160e-37,5.450e-23,1.099e-28,,7.967e-22,,4.717e-36,7.944e-24,,6.191e-32,1.454e-25,,9.248e-24,1.117e-26,1.470e-1,1.593e-25,2.059e-11,3.293e-2,,6.214e-36,,3.282e-5,1.001e-23,,6.365e-1,1.022e+2,,5.860e-26,
618.71,1.140e+2,2.460e-23,6.197e-59,,5.428e-28,3.241e-32,2.321e-51,,,,,2.127e-24,,3.252e-22,7.672e-3,5.629e-36,8.539e-23,3.021e-24,8.341e-37,5.453e-23,1.095e-28,,8.015e-22,,1.281e-36,7.956e-24,,6.192e-32,1.455e-25,,9.238e-24,1.116e-26,2.265e-1,1.596e-25,1.820e-11,3.202e-2,,6.218e-36,,3.384e-5,1.001e-23,,4.088e-1,1.133e+2,,5.855e-26,
618.72,1.191e+2,2.461e-23,6.203e-59,,5.430e-28,3.234e-32,2.320e-51,,,,,2.128e-24,,3.253e-22,6.432e-3,5.627e-36,8.537e-23,3.018e-24,8.432e-37,5.454e-23,1.093e-28,,8.038e-22,,6.627e-37,7.963e-24,,6.193e-32,1.456e-25,,9.233e-24,1.116e-26,2.791e-1,1.597e-25,1.701e-11,3.135e-2,,6.220e-36,,3.419e-5,1.001e-23,,3.253e-1,1.185e+2,,5.852e-26,
618.74,1.284e+2,2.463e-23,6.214e-59,,5.433e-28,3.219e-32,2.318e-51,,,,,2.130e-24,,3.254e-22,4.461e-3,5.621e-36,8.534e-23,3.011e-24,8.614e-37,5.457e-23,1.088e-28,,8.086e-22,,1.749e-37,7.975e-24,,6.194e-32,1.457e-25,,9.223e-24,1.115e-26,4.180e-1,1.600e-25,1.468e-11,2.963e-2,,6.223e-36,,3.456e-5,1.001e-23,,2.031e-1,1.277e+2,,5.847e-26,
618.76,1.359e+2,2.465e-23,6.225e-59,,5.437e-28,3.204e-32,2.317e-51,,,,,2.132e-24,,3.255e-22,3.039e-3,5.616e-36,8.530e-23,3.004e-24,8.795e-37,5.460e-23,1.084e-28,,8.133e-22,,4.531e-38,7.988e-24,,6.196e-32,1.457e-25,,9.213e-24,1.115e-26,6.142e-1,1.603e-25,1.246e-11,2.748e-2,,6.227e-36,,3.450e-5,1.001e-23,,1.245e-1,1.352e+2,,5.841e-26,
618.77,1.389e+2,2.466e-23,6.231e-59,,5.439e-28,3.197e-32,2.316e-51,,,,,2.133e-24,,3.256e-22,2.491e-3,5.614e-36,8.528e-23,3.001e-24,8.886e-37,5.462e-23,1.082e-28,,8.157e-22,,2.290e-38,7.995e-24,,6.196e-32,1.458e-25,,9.208e-24,1.115e-26,7.394e-1,1.605e-25,1.141e-11,2.628e-2,,6.229e-36,,3.430e-5,1.001e-23,,9.675e-2,1.380e+2,,5.838e-26,
618.79,1.431e+2,2.468e-23,6.242e-59,,5.443e-28,3.182e-32,2.314e-51,,,,,2.134e-24,,3.257e-22,1.652e-3,5.608e-36,8.525e-23,2.994e-24,9.067e-37,5.465e-23,1.077e-28,,8.204e-22,,5.765e-39,8.007e-24,,6.198e-32,1.459e-25,,9.198e-24,1.114e-26,1.056e+0,1.607e-25,9.442e-12,2.370e-2,,6.233e-36,,3.361e-5,1.001e-23,,5.764e-2,1.420e+2,,5.833e-26,
618.81,1.449e+2,2.470e-23,6.253e-59,,5.447e-28,3.167e-32,2.312e-51,,,,,2.136e-24,,3.258e-22,1.075e-3,5.603e-36,8.521e-23,2.988e-24,9.249e-37,5.468e-23,1.073e-28,,8.251e-22,,1.424e-39,8.020e-24,,6.199e-32,1.460e-25,,9.188e-24,1.114e-26,1.481e+0,1.610e-25,7.685e-12,2.097e-2,,6.237e-36,,3.254e-5,1.001e-23,,3.369e-2,1.433e+2,,5.827e-26,
618.82,1.448e+2,2.471e-23,6.259e-59,,5.449e-28,3.160e-32,2.311e-51,,,,,2.137e-24,,3.258e-22,8.619e-4,5.600e-36,8.519e-23,2.985e-24,9.339e-37,5.470e-23,1.071e-28,,8.275e-22,,7.029e-40,8.026e-24,,6.200e-32,1.460e-25,,9.183e-24,1.113e-26,1.742e+0,1.612e-25,6.889e-12,1.959e-2,,6.239e-36,,3.187e-5,1.001e-23,,2.558e-2,1.430e+2,,5.825e-26,
618.84,1.427e+2,2.473e-23,6.270e-59,,5.453e-28,3.145e-32,2.309e-51,,,,,2.139e-24,,3.259e-22,5.460e-4,5.595e-36,8.516e-23,2.978e-24,9.521e-37,5.473e-23,1.067e-28,,8.322e-22,,1.688e-40,8.039e-24,,6.201e-32,1.461e-25,,9.173e-24,1.113e-26,2.375e+0,1.615e-25,5.467e-12,1.685e-2,,6.242e-36,,3.032e-5,1.001e-23,,1.454e-2,1.403e+2,,5.819e-26,
618.86,1.384e+2,2.475e-23,6.281e-59,,5.457e-28,3.130e-32,2.307e-51,,,,,2.141e-24,,3.260e-22,3.396e-4,5.590e-36,8.512e-23,2.971e-24,9.702e-37,5.476e-23,1.062e-28,,8.369e-22,,3.978e-41,8.052e-24,,6.203e-32,1.462e-25,,9.163e-24,1.112e-26,3.177e+0,1.617e-25,4.269e-12,1.423e-2,,6.246e-36,,2.851e-5,1.001e-23,,8.107e-3,1.352e+2,,5.814e-26,
618.87,1.354e+2,2.476e-23,6.287e-59,,5.459e-28,3.123e-32,2.307e-51,,,,,2.142e-24,,3.261e-22,2.660e-4,5.587e-36,8.510e-23,2.968e-24,9.793e-37,5.477e-23,1.060e-28,,8.393e-22,,4.034e-41,8.058e-24,,6.204e-32,1.462e-25,,9.158e-24,1.112e-26,3.649e+0,1.619e-25,3.751e-12,1.298e-2,,6.248e-36,,2.753e-5,1.001e-23,,6.012e-3,1.317e+2,,5.811e-26,
618.89,1.281e+2,2.479e-23,6.298e-59,,5.463e-28,3.108e-32,2.305e-51,,,,,2.143e-24,,3.262e-22,1.609e-4,5.582e-36,8.507e-23,2.961e-24,9.974e-37,5.480e-23,1.056e-28,,8.440e-22,,4.144e-41,8.071e-24,,6.205e-32,1.463e-25,,9.148e-24,1.112e-26,4.747e+0,1.622e-25,2.866e-12,1.065e-2,,6.252e-36,,2.543e-5,1.001e-23,,3.261e-3,1.233e+2,,5.806e-26,
618.91,1.194e+2,2.481e-23,6.309e-59,,5.467e-28,3.093e-32,2.303e-51,,,,,2.145e-24,,3.263e-22,9.560e-5,5.576e-36,8.503e-23,2.955e-24,1.016e-36,5.483e-23,1.052e-28,,8.488e-22,,4.254e-41,8.084e-24,,6.206e-32,1.464e-25,,9.138e-24,1.111e-26,6.060e+0,1.625e-25,2.169e-12,8.580e-3,,6.256e-36,,2.321e-5,1.002e-23,,1.738e-3,1.133e+2,,5.800e-26,
618.92,1.147e+2,2.482e-23,6.315e-59,,5.469e-28,3.086e-32,2.302e-51,,,,,2.146e-24,,3.263e-22,7.317e-5,5.574e-36,8.501e-23,2.951e-24,1.025e-36,5.485e-23,1.050e-28,,8.511e-22,,4.310e-41,8.090e-24,,6.207e-32,1.464e-25,,9.134e-24,1.111e-26,6.798e+0,1.626e-25,1.885e-12,7.647e-3,,6.258e-36,,2.208e-5,1.002e-23,,1.262e-3,1.079e+2,,5.797e-26,
618.94,1.048e+2,2.484e-23,6.326e-59,,5.473e-28,3.071e-32,2.300e-51,,,,,2.148e-24,,3.264e-22,4.227e-5,5.568e-36,8.498e-23,2.945e-24,1.043e-36,5.488e-23,1.045e-28,,8.559e-22,,4.420e-41,8.103e-24,,6.209e-32,1.465e-25,,9.124e-24,1.110e-26,8.437e+0,1.629e-25,1.436e-12,5.988e-3,,6.261e-36,,1.978e-5,1.002e-23,,6.639e-4,9.637e+1,,5.792e-26,
618.96,9.480e+1,2.486e-23,6.337e-59,,5.477e-28,3.056e-32,2.298e-51,,,,,2.150e-24,,3.266e-22,2.397e-5,5.563e-36,8.494e-23,2.938e-24,1.061e-36,5.491e-23,1.041e-28,,8.606e-22,,4.530e-41,8.115e-24,,6.210e-32,1.466e-25,,9.114e-24,1.110e-26,1.028e+1,1.632e-25,1.133e-12,4.601e-3,,6.265e-36,,1.750e-5,1.002e-23,,3.601e-4,8.451e+1,,5.787e-26,
618.97,8.986e+1,2.487e-23,6.343e-59,,5.479e-28,3.049e-32,2.297e-51,,,,,2.151e-24,,3.266e-22,1.793e-5,5.560e-36,8.492e-23,2.935e-24,1.070e-36,5.493e-23,1.039e-28,,8.630e-22,,4.585e-41,8.122e-24,,6.211e-32,1.466e-25,,9.109e-24,1.110e-26,1.126e+1,1.633e-25,1.033e-12,4.005e-3,,6.267e-36,,1.638e-5,1.002e-23,,2.771e-4,7.859e+1,,5.784e-26,
618.99,8.037e+1,2.489e-23,6.354e-59,,5.482e-28,3.034e-32,2.296e-51,,,,,2.153e-24,,3.267e-22,9.888e-6,5.555e-36,8.489e-23,2.928e-24,1.088e-36,5.496e-23,1.035e-28,,8.677e-22,,4.696e-41,8.134e-24,,6.212e-32,1.467e-25,,9.099e-24,1.109e-26,1.334e+1,1.636e-25,9.359e-13,2.992e-3,,6.271e-36,,1.420e-5,1.002e-23,,2.055e-4,6.703e+1,,5.778e-26,
619.01,7.165e+1,2.491e-23,6.365e-59,,5.486e-28,3.020e-32,2.294e-51,,,,,2.154e-24,,3.268e-22,5.353e-6,5.550e-36,8.485e-23,2.922e-24,1.106e-36,5.499e-23,1.030e-28,,8.724e-22,,4.806e-41,8.147e-24,,6.214e-32,1.468e-25,,9.089e-24,1.108e-26,1.550e+1,1.639e-25,9.792e-13,2.194e-3,,6.275e-36,,1.215e-5,1.002e-23,,2.384e-4,5.615e+1,,5.773e-26,
619.02,6.764e+1,2.492e-23,6.371e-59,,5.488e-28,3.012e-32,2.293e-51,,,,,2.155e-24,,3.269e-22,3.911e-6,5.547e-36,8.483e-23,2.918e-24,1.115e-36,5.500e-23,1.028e-28,,8.748e-22,,4.861e-41,8.154e-24,,6.214e-32,1.469e-25,,9.084e-24,1.108e-26,1.659e+1,1.641e-25,1.058e-12,1.865e-3,,6.276e-36,,1.117e-5,1.002e-23,,2.963e-4,5.105e+1,,5.770e-26,
619.04,6.042e+1,2.494e-23,6.382e-59,,5.492e-28,2.997e-32,2.291e-51,,,,,2.157e-24,,3.270e-22,2.059e-6,5.542e-36,8.479e-23,2.912e-24,1.134e-36,5.503e-23,1.024e-28,,8.795e-22,,4.972e-41,8.166e-24,,6.216e-32,1.469e-25,,9.074e-24,1.108e-26,1.874e+1,1.643e-25,1.345e-12,1.330e-3,,6.280e-36,,9.347e-6,1.002e-23,,5.243e-4,4.167e+1,,5.765e-26,
619.06,5.429e+1,2.496e-23,6.393e-59,,5.496e-28,2.983e-32,2.289e-51,,,,,2.159e-24,,3.271e-22,1.064e-6,5.537e-36,8.476e-23,2.905e-24,1.152e-36,5.506e-23,1.020e-28,,8.843e-22,,5.082e-41,8.179e-24,,6.217e-32,1.470e-25,,9.064e-24,1.107e-26,2.078e+1,1.646e-25,1.836e-12,9.300e-4,,6.284e-36,,7.704e-6,1.002e-23,,9.839e-4,3.350e+1,,5.759e-26,
